OBJECTID,Place,תאריך,שעות שהייה,x,y
1940046,"רבי יהודה הנשיא 94, אלעד",19/7/2020,מ 2020-07-19 09:30 עד 2020-07-19 14:30,34.961865000000046,32.05234870000004
1940047,"שדרות ירושלים 100, תל אביב יפו",20/7/2020,מ 2020-07-20 07:00 עד 2020-07-20 15:00,34.758065000000045,32.04535260000006
1940048,מרכז מסחרי רובע ו'/דב גור - אשדוד,19/7/2020,מ 2020-07-19 16:00 עד 2020-07-19 16:30,34.65337000000005,31.792845000000057
1940049,מרכז עסקים עילית אחוזת ברכפלד מודיעין עילית - מודיעין עילית,19/7/2020,מ 2020-07-19 11:30 עד 2020-07-19 12:00,35.039031400000056,31.936938300000065
1940050,המעיין/פאולוס השישי - נצרת,20/7/2020,מ 2020-07-20 10:00 עד 2020-07-20 10:30,35.30089600000008,32.70554000000004
1940051,אטליז המלך קלנסווה - ملحمة الملك قلنسوه - קלנסווה,19/7/2020,מ 2020-07-19 10:00 עד 2020-07-19 12:00,34.97858480000008,32.28836910000007
1940052,מרכז רפואי הדסה הר הצופים - ירושלים,20/7/2020,מ 2020-07-20 09:00 עד 2020-07-20 12:00,35.242284400000074,31.797436300000072
1940053,"בית חב""ד ראשון לציון מערב קניון הבאר - ראשון לציון",18/7/2020,מ 2020-07-19 06:30 עד 2020-07-19 09:00,34.774283300000036,31.975441300000057
1940054,"השירה העברית 10, ראשון לציון",19/7/2020,מ 2020-07-19 09:15 עד 2020-07-19 09:30,34.76988650000004,31.976363500000048
1940055,כרמי ישראל - ראשון לציון,19/7/2020,מ 2020-07-19 09:35 עד 2020-07-19 17:15,34.776527300000055,31.97209920000006
1940056,פארק תעשיות אריאל מערב 5 - אריאל,21/7/2020,מ 2020-07-21 08:00 עד 2020-07-21 15:00,35.124550000000056,32.093597000000045
1940057,חוף דדו,19/7/2020,מ 2020-07-19 10:00 עד 2020-07-19 18:00,34.95514130000004,32.79408650000005
1940058,עופר הקניון הגדול פתח תקווה - פתח תקווה,19/7/2020,מ 2020-07-19 17:15 עד 2020-07-19 17:35,34.86534810000006,32.09329810000003
1940059,עופר הקניון הגדול פתח תקווה - פתח תקווה,19/7/2020,מ 2020-07-19 17:40 עד 2020-07-19 18:00,34.86534810000006,32.09329810000003
1940060,כלבו לנצמן - גבעתיים,19/7/2020,מ 2020-07-19 08:30 עד 2020-07-19 15:00,34.80850850000007,32.07401790000006
1940061,"רבן יוחנן בן זכאי 43, בני ברק",19/7/2020,מ 2020-07-19 08:00 עד 2020-07-19 09:00,34.83122320000007,32.081428800000026
1940062,בית חולים כרמל - חיפה,19/7/2020,מ 2020-07-19 08:00 עד 2020-07-19 11:00,34.981960600000036,32.78650120000003
1940063,קניון מבנה נוף הגליל - נוף הגליל,20/7/2020,מ 2020-07-20 12:30 עד 2020-07-20 13:30,35.311000800000045,32.69916150000006
